marital_status,application_mode,application_order,course,course_time,education_level,previous_grade,nationality,mother_education,father_education,mother_occupation,father_occupation,admission_grade,is_displaced,has_special_needs,is_debtor,is_tuition_paid,gender,is_scholarship_holder,age_at_enrollment,is_international,s1_credited,s1_enrolled,s1_evaluated,s1_approved,s1_grade,s1_not_evaluated,s2_credited,s2_enrolled,s2_evaluated,s2_approved,s2_grade,s2_not_evaluated,unemployment_rate,inflation_rate,gdp,status,avg_grade,avg_grade_bin,avg_admission_grade_bin,unemployment_bin,inflation_bin,gdp_bin
single,Over 23 years old,1,Informatics Engineering,daytime,Secondary,50.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Machine operators,80.0,0,0,1,0,male,0,45,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0-20,70-100,Very High,High,Very Low
married,Over 23 years old,1,Veterinary Nursing,daytime,Secondary,66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Other,Other,55.15,0,0,0,1,male,0,33,0,0,5,7,4,67.5,0,0,5,6,5,57.99999999999999,0,7.6,2.6,0.32,Graduate,62.75,61-80,50-70,Very Low,High,Medium
single,1st phase - general contingent,1,Nursing,daytime,Secondary,71.5,Portuguese,Higher education (diploma),Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",64.5,0,0,0,1,male,0,18,0,0,8,8,7,65.52857145,0,0,8,8,7,65.52857145,0,10.8,1.4,1.74,Graduate,65.52857145,61-80,50-70,Low,Medium,High
married,Over 23 years old,1,Veterinary Nursing,daytime,Secondary,60.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Farmers & agriculture,Farmers & agriculture,75.0,0,0,0,1,male,0,43,0,0,5,8,5,67.5,2,0,5,5,5,72.0,0,9.4,-0.8,-3.12,Graduate,69.75,61-80,70-100,Low,Very Low,Very Low
single,Change of course,1,Social Service (evening attendance),evening,Secondary,80.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Admin staff,Military professions,50.0,0,0,0,1,male,0,44,0,9,13,18,13,59.23076925,0,9,11,11,11,60.0,0,12.7,3.7,-1.7,Graduate,59.615384625000004,41-60,0-50,Medium,Very High,Low
single,Over 23 years old,1,Equinculture,daytime,12th grade - not completed,66.55,Portuguese,Unknown,"Can read, no formal schooling",Student,Other,53.75,0,0,0,1,male,0,29,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0-20,50-70,Very Low,High,Medium
divorced,Over 23 years old,1,Advertising and Marketing Management,daytime,Secondary,70.0,Portuguese,Bachelors degree,Secondary,Technicians & associate professionals,Unskilled workers,85.0,0,0,1,0,male,0,53,0,0,6,11,3,71.66666665,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout,35.833333325,21-40,70-100,Medium,Very High,Low
married,Transfer,1,Management (evening attendance),evening,Higher education (diploma),61.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,61.5,0,0,0,1,male,0,37,0,0,5,10,5,79.0,0,0,5,5,5,88.00000000000001,0,9.4,-0.8,-3.12,Enrolled,83.5,81-100,50-70,Low,Very Low,Very Low
single,Change of course,1,Advertising and Marketing Management,daytime,Secondary,71.0,Portuguese,Basic 2nd cycle (6th-8th),Secondary,Machine operators,Military professions,69.25,1,0,0,1,male,0,18,0,0,6,16,5,69.0,0,0,6,7,5,62.0,0,13.9,-0.3,0.79,Enrolled,65.5,61-80,50-70,High,Very Low,High
single,Change of course,1,Biofuel Production Technologies,daytime,Basic 3rd cycle (9th-11th),66.55,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Admin staff,Admin staff,70.0,0,0,1,1,male,0,35,0,3,10,18,6,63.33333335,0,1,9,11,3,60.0,2,16.2,0.3,-0.92,Dropout,61.666666675,61-80,50-70,Very High,Low,Medium
single,1st phase - general contingent,1,Tourism,daytime,Secondary,57.49999999999999,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Technicians & associate professionals,Skilled industry workers,56.8,0,0,0,1,male,0,23,0,0,6,10,6,65.0,0,0,6,9,6,60.0,0,11.1,0.6,2.02,Enrolled,62.5,61-80,50-70,Medium,Low,Very High
single,Over 23 years old,1,Social Service (evening attendance),evening,Secondary,70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Other,Personal services & sales,57.75,0,0,0,0,male,0,33,0,0,6,6,1,55.00000000000001,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,27.500000000000004,21-40,50-70,Low,Medium,High
single,Holders of other higher courses,3,Equinculture,daytime,Higher education (diploma),65.0,Portuguese,Basic 1st cycle (4th-5th),7th grade,Other,Military professions,65.0,0,0,0,0,male,0,41,0,0,5,9,0,0.0,4,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout,0.0,0-20,50-70,Low,Medium,High
divorced,Holders of other higher courses,1,Nursing,daytime,Higher education (diploma),70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Unskilled workers,Skilled industry workers,70.0,0,0,0,1,male,0,51,0,4,7,7,7,76.0,0,6,8,8,8,82.875,0,13.9,-0.3,0.79,Graduate,79.4375,61-80,50-70,High,Very Low,High
single,Change of institution/course,1,Advertising and Marketing Management,daytime,Secondary,70.0,Portuguese,11th-grade,Doctorate degree,Technicians & associate professionals,Technicians & associate professionals,63.3,0,0,0,1,male,0,19,0,2,6,7,6,72.14285715,0,1,7,8,7,71.875,0,11.1,0.6,2.02,Graduate,72.008928575,61-80,50-70,Medium,Low,Very High
single,Over 23 years old,1,Management (evening attendance),evening,Secondary,66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,71.6,0,0,0,1,male,0,35,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout,0.0,0-20,70-100,Medium,Low,Very High
single,Change of course,1,Advertising and Marketing Management,daytime,Secondary,70.5,Portuguese,Higher education (diploma),Bachelors degree,"Specialists (science, law, etc.)","Specialists (science, law, etc.)",66.65,1,0,0,1,male,0,18,0,0,6,13,4,68.75,0,0,6,8,5,55.99999999999999,0,13.9,-0.3,0.79,Enrolled,62.375,61-80,50-70,High,Very Low,High
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary,60.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,59.150000000000006,0,0,1,0,male,1,18,0,0,6,11,5,60.83333335,0,0,6,15,3,60.0,0,13.9,-0.3,0.79,Dropout,60.416666675,61-80,50-70,High,Very Low,High
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization,70.0,Portuguese,Bachelors degree,Secondary,Admin staff,Farmers & agriculture,70.0,0,0,0,1,male,0,21,0,0,6,12,5,60.714285700000005,0,0,6,11,5,58.33333335,0,13.9,-0.3,0.79,Graduate,59.523809525000004,41-60,50-70,High,Very Low,High
single,1st phase - general contingent,1,Tourism,daytime,Secondary,66.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Farmers & agriculture,Farmers & agriculture,62.35000000000001,1,0,0,1,male,0,21,0,0,6,9,6,60.0,0,0,6,8,5,57.99999999999999,0,13.9,-0.3,0.79,Graduate,59.0,41-60,50-70,High,Very Low,High
married,Over 23 years old,2,Management,daytime,Secondary,65.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Admin staff,Skilled industry workers,70.0,0,0,0,1,male,0,34,0,0,5,10,3,58.33333335,1,0,5,7,4,63.74999999999999,0,9.4,-0.8,-3.12,Graduate,61.041666674999995,61-80,50-70,Low,Very Low,Very Low
divorced,Over 23 years old,1,Equinculture,daytime,Secondary,70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Farmers & agriculture,Skilled industry workers,75.0,1,0,0,1,male,0,34,0,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,0.0,0-20,70-100,Very High,Low,Medium
single,2nd phase - general contingent,2,Advertising and Marketing Management,daytime,Secondary,55.00000000000001,Portuguese,Higher education (diploma),Higher education (diploma),Admin staff,Military professions,57.8,1,0,0,1,male,0,21,0,0,6,10,6,59.375,0,0,6,8,5,60.0,0,11.1,0.6,2.02,Graduate,59.6875,41-60,50-70,Medium,Low,Very High
single,Change of course,1,Journalism and Communication,daytime,Secondary,70.0,Portuguese,Higher education (diploma),Basic 1st cycle (4th-5th),Technicians & associate professionals,Skilled industry workers,58.45,0,0,0,1,male,0,32,0,6,11,15,7,56.42857145,0,5,7,10,6,61.66666665,0,13.9,-0.3,0.79,Enrolled,59.04761905,41-60,50-70,High,Very Low,High
single,2nd phase - general contingent,2,Tourism,daytime,Secondary,65.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Personal services & sales,Skilled industry workers,61.7,1,0,0,1,male,0,30,0,0,6,17,2,50.0,0,0,6,15,3,56.666666649999996,0,7.6,2.6,0.32,Dropout,53.333333325,41-60,50-70,Very Low,High,Medium
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary,68.5,Portuguese,Secondary,Higher education (diploma),Technicians & associate professionals,Skilled industry workers,73.25,1,0,1,1,male,0,19,0,6,12,13,11,60.0,0,4,11,15,10,55.9090909,0,8.9,1.4,3.51,Enrolled,57.95454545,41-60,70-100,Very Low,Medium,Very High
single,Change of institution/course,1,Journalism and Communication,daytime,Secondary,79.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Machine operators,Machine operators,58.550000000000004,1,0,0,1,male,0,20,0,1,7,7,6,69.16666665,0,1,6,7,5,65.0,0,8.9,1.4,3.51,Dropout,67.083333325,61-80,50-70,Very Low,Medium,Very High
single,1st phase - general contingent,1,Communication Design,daytime,Secondary,62.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Unskilled workers,Skilled industry workers,56.95,1,0,0,1,male,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout,0.0,0-20,50-70,Medium,Low,High
single,1st phase - general contingent,1,Tourism,daytime,Secondary,68.0,Portuguese,Higher education (diploma),Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",64.35,0,0,0,1,male,0,19,0,0,6,7,6,72.14285715,0,0,6,6,6,62.5,0,8.9,1.4,3.51,Graduate,67.321428575,61-80,50-70,Very Low,Medium,Very High
single,2nd phase - general contingent,3,Nursing,daytime,Secondary,71.0,Portuguese,Higher education (diploma),Higher education (diploma),Technicians & associate professionals,Technicians & associate professionals,66.45,1,0,0,1,male,0,18,0,0,7,8,5,71.0,0,0,7,9,6,62.0,0,12.4,0.5,1.79,Dropout,66.5,61-80,50-70,Medium,Low,High
single,Over 23 years old,1,Management (evening attendance),evening,Secondary,75.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Machine operators,61.5,0,0,0,1,male,0,27,0,0,5,8,4,57.49999999999999,0,0,5,9,3,51.66666665,0,12.7,3.7,-1.7,Dropout,54.583333325,41-60,50-70,Medium,Very High,Low
single,Over 23 years old,1,Journalism and Communication,daytime,11th-grade,60.0,Portuguese,Secondary,Secondary,Unskilled workers,Unskilled workers,64.9,1,0,0,1,male,0,52,0,0,6,7,5,65.0,0,0,6,6,6,75.0,0,9.4,-0.8,-3.12,Graduate,70.0,61-80,50-70,Low,Very Low,Very Low
married,Change of course,1,Agronomy,daytime,Secondary,74.5,Portuguese,Secondary,Secondary,Admin staff,Personal services & sales,78.05,1,0,0,0,male,0,29,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0-20,70-100,Very High,High,Very Low
single,Change of institution/course,1,Agronomy,daytime,Technological specialization,65.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Admin staff,60.0,1,0,1,0,male,0,22,0,0,6,12,3,56.666666649999996,0,0,6,13,2,55.00000000000001,0,8.9,1.4,3.51,Dropout,55.833333325,41-60,50-70,Very Low,Medium,Very High
single,Change of course,1,Veterinary Nursing,daytime,Secondary,55.00000000000001,Mozambican,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Unskilled workers,Farmers & agriculture,58.599999999999994,1,0,0,1,male,0,28,1,13,18,45,18,62.5,12,10,13,26,12,57.142857150000005,6,15.5,2.8,-4.06,Graduate,59.821428575,41-60,50-70,Very High,High,Very Low
single,Over 23 years old,1,Advertising and Marketing Management,daytime,Higher education (diploma),66.55,Portuguese,Secondary,Secondary,Other,Technicians & associate professionals,53.5,1,0,0,1,male,0,30,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0-20,50-70,Very Low,High,Medium
single,1st phase - general contingent,2,Nursing,daytime,Secondary,67.0,Portuguese,Secondary,Secondary,Personal services & sales,Technicians & associate professionals,64.2,1,0,0,1,female,0,18,0,0,7,7,7,67.35714285,0,0,8,9,8,69.72222219999999,0,16.2,0.3,-0.92,Graduate,68.53968252499999,61-80,50-70,Very High,Low,Medium
single,1st phase - general contingent,2,Advertising and Marketing Management,daytime,Secondary,65.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Personal services & sales,Personal services & sales,61.7,1,0,0,1,female,0,21,0,0,5,5,4,58.75,0,0,5,5,3,66.66666665000001,0,9.4,-0.8,-3.12,Graduate,62.708333325000005,61-80,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,1,Communication Design,daytime,Secondary,70.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,63.35000000000001,1,0,1,1,female,1,20,0,0,6,9,6,66.66666665000001,0,0,6,10,6,73.33333334999999,0,12.7,3.7,-1.7,Graduate,70.0,61-80,50-70,Medium,Very High,Low
single,Transfer,1,Nursing,daytime,Secondary,61.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Technicians & associate professionals,Technicians & associate professionals,61.5,1,0,0,1,female,1,21,0,0,8,8,8,65.525,0,0,8,8,8,65.525,0,9.4,-0.8,-3.12,Graduate,65.525,61-80,50-70,Low,Very Low,Very Low
married,Over 23 years old,1,Management (evening attendance),evening,Basic 3rd cycle (9th-11th),66.55,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Skilled industry workers,Unskilled workers,68.6,0,0,1,0,female,0,32,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0-20,50-70,Low,Medium,High
single,1st phase - general contingent,3,Communication Design,daytime,Secondary,61.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,62.95,1,0,0,1,male,1,20,0,0,6,6,6,77.5,0,0,6,7,6,60.83333335,0,12.4,0.5,1.79,Graduate,69.166666675,61-80,50-70,Medium,Low,High
single,1st phase - general contingent,4,Animation and Multimedia Design,daytime,Secondary,66.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Personal services & sales,69.0,1,0,1,0,male,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0-20,50-70,Very High,High,Very Low
single,International student (bachelor),1,Advertising and Marketing Management,daytime,Secondary,66.55,Brazilian,Secondary,Secondary,Unskilled workers,Personal services & sales,64.1,0,0,1,0,male,0,18,1,0,6,6,4,56.25,0,0,6,7,3,61.66666665,0,8.9,1.4,3.51,Dropout,58.958333325,41-60,50-70,Very Low,Medium,Very High
single,Change of course,1,Management (evening attendance),evening,Secondary,65.0,Portuguese,Basic 1st cycle (4th-5th),Bachelors degree,Unskilled workers,Admin staff,63.24999999999999,1,0,0,0,male,0,23,0,10,15,24,12,55.00000000000001,0,10,14,21,11,56.8181818,1,7.6,2.6,0.32,Dropout,55.9090909,41-60,50-70,Very Low,High,Medium
single,1st phase - general contingent,1,Tourism,daytime,Secondary,55.50000000000001,Portuguese,Secondary,Secondary,Technicians & associate professionals,Technicians & associate professionals,56.2,1,0,0,1,male,0,20,0,0,6,10,6,61.66666665,0,0,6,9,4,65.0,0,12.4,0.5,1.79,Graduate,63.333333325,61-80,50-70,Medium,Low,High
married,Change of course,2,Management,daytime,Secondary,66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,54.50000000000001,1,0,0,1,female,0,46,0,4,9,18,8,56.875,2,0,5,11,5,59.00000000000001,0,9.4,-0.8,-3.12,Graduate,57.9375,41-60,50-70,Low,Very Low,Very Low
single,2nd phase - general contingent,1,Agronomy,daytime,Secondary,62.5,Portuguese,Higher education (diploma),Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",50.0,0,0,0,1,male,0,27,0,16,18,19,18,61.1111111,0,9,12,15,12,61.9230769,0,15.5,2.8,-4.06,Graduate,61.517094,61-80,0-50,Very High,High,Very Low
single,1st phase - special contingent (Azores Island),1,Animation and Multimedia Design,daytime,Secondary,68.5,Portuguese,Higher education (diploma),Basic 3rd cycle (9th-11th),Govt & executive leaders,Military professions,72.35,1,0,0,1,male,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Enrolled,0.0,0-20,70-100,Very High,Low,Medium
married,Change of course,3,Social Service (evening attendance),evening,Basic 3rd cycle (9th-11th),50.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,60.0,1,0,0,1,male,0,41,0,5,9,11,9,60.0,0,3,7,8,6,60.0,0,9.4,-0.8,-3.12,Graduate,60.0,41-60,50-70,Low,Very Low,Very Low
single,International student (bachelor),1,Management,daytime,Secondary,66.55,Angolan,Secondary,Higher education (diploma),Unskilled farm & fishery workers,Technicians & associate professionals,50.0,0,0,1,1,male,0,40,1,0,5,10,1,55.00000000000001,0,0,5,10,1,50.0,0,11.1,0.6,2.02,Enrolled,52.5,41-60,0-50,Medium,Low,Very High
married,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization,75.0,Portuguese,Secondary,Secondary,Personal services & sales,Personal services & sales,77.0,0,0,0,1,male,0,37,0,12,16,17,16,70.625,0,6,11,14,10,65.0,0,12.4,0.5,1.79,Graduate,67.8125,61-80,70-100,Medium,Low,High
single,1st phase - general contingent,4,Management,daytime,Secondary,60.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Personal services & sales,Military professions,55.65,0,0,0,1,male,0,20,0,0,5,8,5,51.0,0,0,5,7,5,55.99999999999999,0,12.4,0.5,1.79,Enrolled,53.5,41-60,50-70,Medium,Low,High
single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization,75.0,Portuguese,Secondary,Secondary,Admin staff,Admin staff,75.0,1,0,0,1,female,0,20,0,0,5,7,4,60.0,1,0,5,6,4,62.0,0,10.8,1.4,1.74,Enrolled,61.0,61-80,70-100,Low,Medium,High
single,Holders of other higher courses,1,Management (evening attendance),evening,Higher education (diploma),66.55,Portuguese,Secondary,Basic 1st cycle (4th-5th),Admin staff,Govt & executive leaders,50.0,0,0,0,1,female,0,26,0,8,9,11,9,61.66666665,0,4,7,7,7,62.85714285,0,12.4,0.5,1.79,Graduate,62.26190475,61-80,0-50,Medium,Low,High
married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary,66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Skilled industry workers,81.25,0,0,0,1,male,0,54,0,4,9,9,9,71.66666665,0,2,7,7,7,69.2857143,0,8.9,1.4,3.51,Graduate,70.476190475,61-80,70-100,Very Low,Medium,Very High
single,2nd phase - general contingent,5,Advertising and Marketing Management,daytime,Secondary,66.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Personal services & sales,Personal services & sales,67.05,1,0,0,1,male,0,21,0,0,6,6,6,75.83333335,0,0,6,9,6,70.0,0,10.8,1.4,1.74,Graduate,72.916666675,61-80,50-70,Low,Medium,High
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,67.0,Portuguese,Secondary,Secondary,Unskilled workers,Unskilled workers,66.5,1,0,0,1,female,1,20,0,0,6,8,6,75.7142857,0,0,6,8,6,75.7142857,0,11.1,0.6,2.02,Graduate,75.7142857,61-80,50-70,Medium,Low,Very High
single,2nd phase - general contingent,6,Journalism and Communication,daytime,Secondary,63.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Personal services & sales,Personal services & sales,59.5,1,0,0,1,female,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout,0.0,0-20,50-70,Medium,Low,High
single,1st phase - general contingent,3,Nursing,daytime,Secondary,68.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Unskilled workers,65.55,1,0,0,1,female,0,19,0,0,7,9,6,67.05714284999999,0,0,8,12,7,66.4722222,0,15.5,2.8,-4.06,Enrolled,66.764682525,61-80,50-70,Very High,High,Very Low
single,1st phase - general contingent,2,Social Service,daytime,Secondary,64.5,Portuguese,Basic 2nd cycle (6th-8th),Secondary,Admin staff,Military professions,64.7,1,0,0,1,female,0,18,0,0,6,7,6,61.66666665,0,0,6,7,6,60.83333335,0,9.4,-0.8,-3.12,Graduate,61.25,61-80,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,63.0,Portuguese,Higher education (diploma),Secondary,"Specialists (science, law, etc.)",Machine operators,61.95,1,0,0,1,female,0,19,0,0,6,13,4,59.00000000000001,0,0,6,18,4,61.0,0,12.4,0.5,1.79,Enrolled,60.0,41-60,50-70,Medium,Low,High
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization,70.0,Portuguese,Secondary,Secondary,Admin staff,Skilled industry workers,70.0,1,0,1,1,female,0,22,0,2,6,9,6,60.0,0,1,6,12,3,60.0,0,13.9,-0.3,0.79,Dropout,60.0,41-60,50-70,High,Very Low,High
single,Change of course,1,Veterinary Nursing,daytime,Secondary,81.0,Portuguese,Bachelors degree,Secondary,Admin staff,Admin staff,81.0,0,0,0,1,female,0,19,0,0,6,7,6,75.0,0,0,6,8,6,78.125,0,12.4,0.5,1.79,Graduate,76.5625,61-80,70-100,Medium,Low,High
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary,74.0,Portuguese,Higher education (diploma),Bachelors degree,Admin staff,"Specialists (science, law, etc.)",65.8,1,0,0,1,female,0,21,0,6,12,12,8,69.375,0,4,11,13,9,63.5,1,8.9,1.4,3.51,Dropout,66.4375,61-80,50-70,Very Low,Medium,Very High
single,2nd phase - general contingent,1,Basic Education,daytime,Secondary,59.5,Portuguese,Higher education (diploma),Higher education (diploma),Health technicians,Health technicians,55.3,0,0,0,1,female,0,20,0,0,7,9,6,59.166666649999996,0,0,7,7,6,71.66666665,0,11.1,0.6,2.02,Enrolled,65.41666665,61-80,50-70,Medium,Low,Very High
single,2nd phase - general contingent,3,Journalism and Communication,daytime,Secondary,61.5,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Personal services & sales,Personal services & sales,58.70000000000001,1,0,0,1,female,1,18,0,0,6,6,6,62.5,0,0,6,6,6,69.16666665,0,16.2,0.3,-0.92,Graduate,65.833333325,61-80,50-70,Very High,Low,Medium
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary,75.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Skilled industry workers,Skilled industry workers,68.9,1,0,0,1,female,1,18,0,0,6,6,6,75.0,0,0,6,6,6,77.5,0,8.9,1.4,3.51,Graduate,76.25,61-80,50-70,Very Low,Medium,Very High
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary,56.49999999999999,Portuguese,Secondary,Secondary,Personal services & sales,Admin staff,53.349999999999994,1,0,1,1,female,0,20,0,0,6,10,2,58.33333335,0,0,6,10,4,52.5,0,15.5,2.8,-4.06,Dropout,55.416666675,41-60,50-70,Very High,High,Very Low
single,1st phase - general contingent,1,Nursing,daytime,Secondary,76.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Technicians & associate professionals,Machine operators,78.45,0,0,0,1,female,1,18,0,0,7,10,7,73.33999999999999,0,0,8,8,8,73.16874999999999,0,15.5,2.8,-4.06,Graduate,73.25437499999998,61-80,70-100,Very High,High,Very Low
single,1st phase - general contingent,3,Nursing,daytime,Secondary,77.0,Portuguese,Higher education (diploma),Higher education (diploma),Govt & executive leaders,Technicians & associate professionals,64.5,1,0,0,1,female,0,18,0,0,8,9,6,66.725,2,0,8,9,6,66.725,2,9.4,-0.8,-3.12,Enrolled,66.725,61-80,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary,65.0,Portuguese,Secondary,Unknown,Unskilled workers,Unskilled workers,62.4,1,0,0,1,female,1,20,0,0,6,7,5,64.0,0,0,6,6,6,61.66666665,0,12.4,0.5,1.79,Graduate,62.833333325,61-80,50-70,Medium,Low,High
single,1st phase - general contingent,1,Social Service,daytime,Secondary,60.5,Portuguese,Secondary,Secondary,Govt & executive leaders,Govt & executive leaders,57.550000000000004,1,0,0,1,female,0,19,0,0,6,10,6,54.16666665,0,0,6,7,6,60.714285700000005,0,11.1,0.6,2.02,Graduate,57.440476175,41-60,50-70,Medium,Low,Very High
single,1st phase - general contingent,1,Communication Design,daytime,Secondary,76.5,Portuguese,Higher education (diploma),Higher education (diploma),Govt & executive leaders,"Specialists (science, law, etc.)",73.35,1,0,0,1,female,0,18,0,0,6,6,6,68.33333335,0,0,6,6,5,70.0,0,12.7,3.7,-1.7,Graduate,69.166666675,61-80,70-100,Medium,Very High,Low
single,1st phase - general contingent,1,Nursing,daytime,Secondary,74.0,Portuguese,Higher education (diploma),Secondary,Admin staff,Personal services & sales,66.4,0,0,0,1,female,0,18,0,0,8,8,7,72.68571429999999,0,0,8,8,7,72.68571429999999,0,10.8,1.4,1.74,Graduate,72.68571429999999,61-80,50-70,Low,Medium,High
single,1st phase - special contingent (Azores Island),3,Veterinary Nursing,daytime,Secondary,71.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Student,Other,79.55,0,0,1,1,female,1,18,0,0,5,5,5,72.0,0,0,5,5,5,70.0,0,7.6,2.6,0.32,Dropout,71.0,61-80,70-100,Very Low,High,Medium
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary,69.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Unskilled workers,Unskilled workers,62.0,0,0,0,1,female,1,19,0,0,6,6,6,65.83333335,0,0,6,6,6,69.16666665,0,11.1,0.6,2.02,Graduate,67.5,61-80,50-70,Medium,Low,Very High
single,Over 23 years old,1,Nursing,daytime,Secondary,60.0,Portuguese,Higher education (diploma),Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",74.5,0,0,0,0,male,0,36,0,0,6,15,2,57.49999999999999,0,0,7,9,0,0.0,0,15.5,2.8,-4.06,Dropout,28.749999999999996,21-40,70-100,Very High,High,Very Low
single,2nd phase - general contingent,1,Social Service,daytime,Secondary,72.5,Portuguese,Secondary,Higher education (diploma),Unskilled workers,"Specialists (science, law, etc.)",64.8,0,0,0,1,female,1,19,0,0,6,7,6,56.666666649999996,0,0,6,7,6,62.14285715,0,11.1,0.6,2.02,Graduate,59.4047619,41-60,50-70,Medium,Low,Very High
